Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match Type
66,109,64,6,0,103.12,4,run out,1,Sri Lanka,Eden Gardens,13-11-2014,ODI
139,192,126,12,3,110.31,4,not out,2,Sri Lanka,Ranchi,16-11-2014,ODI
9,24,16,0,0,56.25,4,caught,1,Australia,Melbourne,18-01-2015,ODI
4,13,8,0,0,50,4,caught,1,England,Brisbane,20-01-2015,ODI
3,8,9,0,0,33.33,4,not out,1,Australia,Sydney,26-01-2015,ODI
8,26,19,0,0,42.1,3,caught,1,England,Perth,30-01-2015,ODI
107,168,126,8,0,84.92,3,caught,1,Pakistan,Adelaide,15-02-2015,ODI
46,106,60,3,0,76.66,3,caught,1,South Africa,Melbourne,22-02-2015,ODI
33,49,41,5,0,80.48,3,not out,2,U.A.E.,Perth,28-02-2015,ODI
33,51,36,5,0,91.66,3,caught,2,West Indies,Perth,06-03-2015,ODI
44,64,42,4,1,104.76,3,not out,2,Ireland,Hamilton,10-03-2015,ODI
38,71,48,4,0,79.16,3,bowled,2,Zimbabwe,Auckland,14-03-2015,ODI
3,6,8,0,0,37.5,3,caught,1,Bangladesh,Melbourne,19-03-2015,ODI
1,11,13,0,0,7.69,3,caught,2,Australia,Sydney,26-03-2015,ODI
1,9,4,0,0,25,3,caught,2,Bangladesh,Mirpur,18-06-2015,ODI
23,57,27,3,1,85.18,3,lbw,1,Bangladesh,Mirpur,21-06-2015,ODI
25,55,35,1,0,71.42,3,bowled,1,Bangladesh,Mirpur,24-06-2015,ODI
11,29,18,0,0,61.11,4,caught,2,South Africa,Kanpur,11-10-2015,ODI
12,24,18,0,0,66.66,4,run out,1,South Africa,Indore,14-10-2015,ODI
77,155,99,5,0,77.77,3,caught,2,South Africa,Rajkot,18-10-2015,ODI
138,202,140,6,5,98.57,3,caught,1,South Africa,Chennai,22-10-2015,ODI
7,11,6,0,1,116.66,3,caught,2,South Africa,Wankhede,25-10-2015,ODI
91,148,97,9,1,93.81,3,caught,1,Australia,Perth,12-01-2016,ODI
59,84,67,4,0,88.05,3,run out,1,Australia,Brisbane,15-01-2016,ODI
117,174,117,7,2,100,3,caught,1,Australia,Melbourne,17-01-2016,ODI
106,131,92,11,1,115.21,3,caught,2,Australia,Canberra,20-01-2016,ODI
8,11,11,1,0,72.72,3,caught,2,Australia,Sydney,23-01-2016,ODI
85,109,81,9,1,104.93,3,not out,2,New Zealand,Dharamsala,16-10-2016,ODI
9,18,13,1,0,69.23,3,caught,2,New Zealand,Delhi,20-10-2016,ODI
154,202,134,16,1,114.92,3,not out,2,New Zealand,Mohali,23-10-2016,ODI
45,64,51,2,1,88.23,3,caught,2,New Zealand,Ranchi,26-10-2016,ODI
65,152,76,2,1,85.52,3,caught,1,New Zealand,Visakhapatnam,29-10-2016,ODI
122,147,105,8,5,116.19,3,caught,2,England,Pune,15-01-2017,ODI
8,6,5,2,0,160,3,caught,1,England,Cuttack,19-01-2017,ODI
55,81,63,8,0,87.3,3,caught,2,England,Eden Gardens,22-01-2017,ODI
81,108,68,6,3,119.11,3,not out,1,Pakistan,Birmingham,04-06-2017,ODI
0,5,5,0,0,0,3,caught,1,Sri Lanka,The Oval,08-06-2017,ODI
76,136,101,7,1,75.24,3,not out,2,South Africa,The Oval,11-06-2017,ODI
96,96,78,13,0,123.07,3,not out,2,Bangladesh,Birmingham,15-06-2017,ODI
5,11,9,0,0,55.55,3,caught,2,Pakistan,The Oval,18-06-2017,ODI
32,-,47,1,0,68.08,3,not out,1,West Indies,Port of Spain,23-06-2017,ODI
87,-,66,4,4,131.81,3,caught,1,West Indies,Port of Spain,25-06-2017,ODI
11,-,22,2,0,50,3,caught,1,West Indies,North Sound,30-06-2017,ODI
3,-,12,0,0,25,3,caught,2,West Indies,North Sound,02-07-2017,ODI
